Output factors,,,,,,,,,
Wedge 15 R,,,,,,,,,
SSD=95cm,,,,,,,,,
Depth=5cm,,,,,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,,,,,
,,Field size X [cm],,,,,,,
Field Size Y [cm],,3,4.0,5.0,7.0,10.0,15.0,20.0,30.0
,3.0,0.879,0.89,0.897,0.906,0.914,0.92,0.924,0.928
,4.0,0.89,0.904,0.913,0.925,0.934,0.943,0.948,0.954
,5.0,0.899,0.915,0.926,0.94,0.951,0.961,0.967,0.975
,7.0,0.911,0.93,0.944,0.962,0.976,0.99,0.999,1.009
,10.0,0.922,0.944,0.96,0.982,1.0,1.019,1.031,1.045
,15.0,0.931,0.955,0.973,0.999,1.023,1.047,1.065,1.085
,20.0,0.936,0.962,0.981,1.009,1.037,1.066,1.087,1.112
,30.0,0.942,0.97,0.991,1.023,1.055,1.091,1.118,1.151
,40.0,0.946,0.975,0.997,1.031,1.066,1.105,1.136,1.173
